row,pot,mass,ber,fungus,cracking,penetrometer,sugar_avg,date_harvest,date_analysis,treatment,transplantation,germination,fruit,daysfromharvesttoanalysis,daysfromgermination,plant,ripeness,sugar_grams
B,7,68.6,FALSE,FALSE,FALSE,1,4.7,2024-08-09T00:00:00Z,2024-08-12T00:00:00Z,Transplantation,TRUE,FALSE,1,3,103,B7,0.77,3.2241999999999997
D,1,212.7,FALSE,FALSE,TRUE,0.8,6,2024-08-09T00:00:00Z,2024-08-12T00:00:00Z,Germ+Trans,TRUE,TRUE,1,3,103,D1,0.8200000000000001,12.761999999999999
A,6,203.9,TRUE,TRUE,FALSE,NA,NA,2024-08-09T00:00:00Z,2024-08-12T00:00:00Z,Control,FALSE,FALSE,1,3,103,A6,NA,NA
B,4,114.3,TRUE,TRUE,FALSE,NA,NA,2024-08-09T00:00:00Z,2024-08-12T00:00:00Z,Transplantation,TRUE,FALSE,1,3,103,B4,NA,NA
A,12,111.8,TRUE,TRUE,FALSE,NA,NA,2024-08-09T00:00:00Z,2024-08-12T00:00:00Z,Control,FALSE,FALSE,1,3,103,A12,NA,NA
A,7,104.4,TRUE,TRUE,FALSE,NA,NA,2024-08-09T00:00:00Z,2024-08-12T00:00:00Z,Control,FALSE,FALSE,1,3,103,A7,NA,NA
B,4,271.6,FALSE,FALSE,FALSE,0.8,6.1,2024-08-09T00:00:00Z,2024-08-12T00:00:00Z,Transplantation,TRUE,FALSE,1,3,103,B4,0.8200000000000001,16.567600000000002
B,5,195.5,FALSE,FALSE,FALSE,0.8,5.1,2024-08-09T00:00:00Z,2024-08-12T00:00:00Z,Transplantation,TRUE,FALSE,1,3,103,B5,0.8200000000000001,9.9705
B,5,249.3,FALSE,FALSE,FALSE,1,4.6,2024-08-09T00:00:00Z,2024-08-12T00:00:00Z,Transplantation,TRUE,FALSE,1,3,103,B5,0.77,11.4678
D,11,101.9,TRUE,TRUE,FALSE,NA,NA,2024-08-09T00:00:00Z,2024-08-12T00:00:00Z,Germ+Trans,TRUE,TRUE,1,3,103,D11,NA,NA
C,12,160.6,TRUE,TRUE,FALSE,NA,NA,2024-08-09T00:00:00Z,2024-08-12T00:00:00Z,Germination,FALSE,TRUE,1,3,103,C12,NA,NA
