"","Treatment","Transplantation","Germination","Time","Date","DaysFromGermination","Row","Pot","Plant","AmbientHumidity","AmbientTemperature","AmbientPressure","AmbientLight","LeafTemperature","gsw"
"244","Control",FALSE,FALSE,"11:36:12","2024-06-06",36,"A","2","A2",84.55,22.05,97.28,138,23.43,1.77371
"245","Control",FALSE,FALSE,"11:36:23","2024-06-06",36,"A","3","A3",82.09,22.1,97.28,158,22.42,0.903838
"246","Control",FALSE,FALSE,"11:36:28","2024-06-06",36,"A","4","A4",85.44,22.12,97.27,151,24.73,0.982904
"247","Control",FALSE,FALSE,"11:36:34","2024-06-06",36,"A","5","A5",85.18,22.15,97.27,158,23.99,1.077765
"248","Control",FALSE,FALSE,"11:36:41","2024-06-06",36,"A","6","A6",87.76,22.18,97.27,156,24.84,1.385749
"249","Control",FALSE,FALSE,"11:36:51","2024-06-06",36,"A","7","A7",86.9,22.23,97.27,144,23.37,1.958054
"250","Control",FALSE,FALSE,"11:36:58","2024-06-06",36,"A","8","A8",86.19,22.25,97.27,148,24.2,1.036499
"251","Control",FALSE,FALSE,"11:37:07","2024-06-06",36,"A","9","A9",87.72,22.29,97.27,155,23.55,2.021861
"252","Control",FALSE,FALSE,"11:37:21","2024-06-06",36,"A","11","A11",86.33,22.35,97.28,158,23.58,1.14744
"253","Control",FALSE,FALSE,"11:37:27","2024-06-06",36,"A","12","A12",86.95,22.38,97.28,134,24.43,0.960748
"254","Transplantation",TRUE,FALSE,"11:37:44","2024-06-06",36,"B","1","B1",88.94,22.45,97.28,141,23.66,2.549283
"255","Transplantation",TRUE,FALSE,"11:37:53","2024-06-06",36,"B","2","B2",89.04,22.48,97.28,152,24.15,2.025211
"256","Transplantation",TRUE,FALSE,"11:38:01","2024-06-06",36,"B","3","B3",87.41,22.51,97.28,168,23.68,1.486588
"257","Transplantation",TRUE,FALSE,"11:38:10","2024-06-06",36,"B","4","B4",87.36,22.55,97.27,167,23.33,1.747634
"258","Transplantation",TRUE,FALSE,"11:38:22","2024-06-06",36,"B","5","B5",89.58,22.59,97.27,164,23.74,3.197839
"259","Transplantation",TRUE,FALSE,"11:38:28","2024-06-06",36,"B","6","B6",87.47,22.62,97.27,194,24.11,1.39378
"260","Transplantation",TRUE,FALSE,"11:38:33","2024-06-06",36,"B","7","B7",87.81,22.65,97.27,170,24.6,1.171153
"261","Transplantation",TRUE,FALSE,"11:38:39","2024-06-06",36,"B","8","B8",86.96,22.68,97.27,169,23.76,1.283831
"262","Transplantation",TRUE,FALSE,"11:38:45","2024-06-06",36,"B","9","B9",86.94,22.7,97.27,155,23.64,1.319083
"263","Transplantation",TRUE,FALSE,"11:38:54","2024-06-06",36,"B","10","B10",86.5,22.74,97.27,177,23.59,1.196708
"264","Transplantation",TRUE,FALSE,"11:39:00","2024-06-06",36,"B","11","B11",87.17,22.78,97.27,163,24.53,1.033438
"265","Transplantation",TRUE,FALSE,"11:39:07","2024-06-06",36,"B","12","B12",88.25,22.81,97.26,158,24.67,1.338105
"266","Germination",FALSE,TRUE,"11:39:20","2024-06-06",36,"C","1","C1",87.51,22.87,97.26,161,23.84,1.642983
"267","Germination",FALSE,TRUE,"11:39:27","2024-06-06",36,"C","2","C2",87.95,22.91,97.26,137,24.2,1.57966
"268","Germination",FALSE,TRUE,"11:39:34","2024-06-06",36,"C","3","C3",86.91,22.94,97.26,166,23.79,1.37311
"269","Germination",FALSE,TRUE,"11:39:41","2024-06-06",36,"C","4","C4",87.85,22.98,97.26,175,23.95,1.891227
"270","Germination",FALSE,TRUE,"11:39:47","2024-06-06",36,"C","5","C5",87.09,23.01,97.26,171,23.8,1.630334
"271","Germination",FALSE,TRUE,"11:39:53","2024-06-06",36,"C","6","C6",87.8,23.04,97.26,167,24.57,1.426722
"272","Germination",FALSE,TRUE,"11:40:01","2024-06-06",36,"C","7","C7",86.17,23.07,97.26,174,23.48,1.415855
"273","Germination",FALSE,TRUE,"11:40:07","2024-06-06",36,"C","8","C8",87.26,23.11,97.26,164,23.45,2.244039
"274","Germination",FALSE,TRUE,"11:40:15","2024-06-06",36,"C","9","C9",86.54,23.14,97.26,173,24.26,1.184456
"275","Germination",FALSE,TRUE,"11:40:22","2024-06-06",36,"C","10","C10",86.72,23.18,97.26,166,24.24,1.326902
"276","Germination",FALSE,TRUE,"11:40:31","2024-06-06",36,"C","11","C11",86.2,23.22,97.26,176,23.54,1.765128
"277","Germination",FALSE,TRUE,"11:40:38","2024-06-06",36,"C","12","C12",87.04,23.25,97.26,160,23.74,2.231601
"278","Germ+Trans",TRUE,TRUE,"11:40:51","2024-06-06",36,"D","1","D1",86.27,23.32,97.26,145,23.64,2.113789
"279","Germ+Trans",TRUE,TRUE,"11:41:01","2024-06-06",36,"D","2","D2",85.48,23.36,97.26,153,24.44,0.972439
"280","Germ+Trans",TRUE,TRUE,"11:41:08","2024-06-06",36,"D","3","D3",85.53,23.4,97.26,168,24.45,0.988938
"281","Germ+Trans",TRUE,TRUE,"11:41:15","2024-06-06",36,"D","4","D4",87.33,23.43,97.27,148,24.48,1.678052
"282","Germ+Trans",TRUE,TRUE,"11:41:26","2024-06-06",36,"D","5","D5",85.81,23.49,97.26,155,24.75,0.896756
"283","Germ+Trans",TRUE,TRUE,"11:41:32","2024-06-06",36,"D","6","D6",86.05,23.51,97.26,170,24.77,0.974573
"284","Germ+Trans",TRUE,TRUE,"11:41:40","2024-06-06",36,"D","7","D7",86.73,23.56,97.27,146,24.29,1.576819
"285","Germ+Trans",TRUE,TRUE,"11:41:48","2024-06-06",36,"D","8","D8",85.59,23.59,97.26,165,24.62,0.933987
"286","Germ+Trans",TRUE,TRUE,"11:41:54","2024-06-06",36,"D","9","D9",85.96,23.62,97.27,143,24.31,1.3432
"287","Germ+Trans",TRUE,TRUE,"11:42:03","2024-06-06",36,"D","10","D10",84.79,23.66,97.27,158,23.76,1.271176
"288","Germ+Trans",TRUE,TRUE,"11:42:10","2024-06-06",36,"D","11","D11",84.82,23.69,97.26,136,24.34,1.031943
"289","Germ+Trans",TRUE,TRUE,"11:42:16","2024-06-06",36,"D","12","D12",84.54,23.72,97.27,154,24.84,0.752918
"290","Control",FALSE,FALSE,"10:51:39","2024-06-13",43,"A","1","A1",84.49,22.98,97.83,378,24.52,1.058006
"291","Control",FALSE,FALSE,"10:51:49","2024-06-13",43,"A","2","A2",84.84,23.05,97.84,288,25.06,0.971694
"292","Control",FALSE,FALSE,"10:52:02","2024-06-13",43,"A","3","A3",83.84,23.15,97.84,431,25.34,0.796761
"293","Control",FALSE,FALSE,"10:52:12","2024-06-13",43,"A","4","A4",84.39,23.22,97.83,435,25.64,0.85906
"294","Control",FALSE,FALSE,"10:52:20","2024-06-13",43,"A","5","A5",84.52,23.28,97.83,470,25.21,0.922737
"295","Control",FALSE,FALSE,"10:52:31","2024-06-13",43,"A","6","A6",83.3,23.36,97.82,462,24.32,0.94313
"296","Control",FALSE,FALSE,"10:52:40","2024-06-13",43,"A","7","A7",83.67,23.42,97.82,449,25.29,0.793476
"297","Control",FALSE,FALSE,"10:52:59","2024-06-13",43,"A","8","A8",83.38,23.57,97.83,446,24.98,0.887026
"298","Control",FALSE,FALSE,"10:53:07","2024-06-13",43,"A","9","A9",82.75,23.62,97.83,299,25.5,0.700923
"299","Control",FALSE,FALSE,"10:53:21","2024-06-13",43,"A","10","A10",81.92,23.72,97.83,435,25.92,0.536413
"300","Control",FALSE,FALSE,"10:53:27","2024-06-13",43,"A","11","A11",82.15,23.76,97.83,455,26.03,0.599563
"301","Control",FALSE,FALSE,"10:53:34","2024-06-13",43,"A","12","A12",81.29,23.8,97.84,390,26.05,0.502831
"302","Transplantation",TRUE,FALSE,"10:53:52","2024-06-13",43,"B","1","B1",81.86,23.93,97.84,388,26.43,0.495992
"303","Transplantation",TRUE,FALSE,"10:54:04","2024-06-13",43,"B","2","B2",82.2,24.01,97.84,438,25.53,0.685963
"304","Transplantation",TRUE,FALSE,"10:54:12","2024-06-13",43,"B","3","B3",81.3,24.06,97.83,402,25.68,0.54066
"305","Transplantation",TRUE,FALSE,"10:54:18","2024-06-13",43,"B","4","B4",81.53,24.11,97.83,376,24.74,0.748311
"306","Transplantation",TRUE,FALSE,"10:54:25","2024-06-13",43,"B","5","B5",81.67,24.15,97.83,376,25.76,0.581578
"307","Transplantation",TRUE,FALSE,"10:54:30","2024-06-13",43,"B","6","B6",82.33,24.19,97.83,402,26.4,0.541572
"308","Transplantation",TRUE,FALSE,"10:54:43","2024-06-13",43,"B","7","B7",82.7,24.28,97.83,393,25.59,0.711865
"309","Transplantation",TRUE,FALSE,"10:54:50","2024-06-13",43,"B","8","B8",82.5,24.32,97.83,423,26.09,0.618179
"310","Transplantation",TRUE,FALSE,"10:54:56","2024-06-13",43,"B","9","B9",81.7,24.36,97.83,389,25.94,0.522335
"311","Transplantation",TRUE,FALSE,"10:55:02","2024-06-13",43,"B","10","B10",81.81,24.4,97.83,345,26.1,0.59304
"312","Transplantation",TRUE,FALSE,"10:55:10","2024-06-13",43,"B","11","B11",80.06,24.45,97.83,418,25.2,0.523249
"313","Germination",FALSE,TRUE,"10:55:19","2024-06-13",43,"C","1","C1",80.37,24.51,97.83,422,25.91,0.520411
"314","Germination",FALSE,TRUE,"10:55:35","2024-06-13",43,"C","1","C1",78.98,24.61,97.82,179,25.08,0.425905
"315","Germination",FALSE,TRUE,"10:55:48","2024-06-13",43,"C","2","C2",80.44,24.68,97.82,175,26.36,0.435714
"316","Germination",FALSE,TRUE,"10:55:54","2024-06-13",43,"C","3","C3",80.02,24.72,97.82,173,26.42,0.366695
"317","Germination",FALSE,TRUE,"10:56:13","2024-06-13",43,"C","4","C4",77.28,24.83,97.82,193,25.79,0.225656
"318","Germination",FALSE,TRUE,"10:56:19","2024-06-13",43,"C","5","C5",77.84,24.87,97.82,203,25.87,0.28062
"319","Germination",FALSE,TRUE,"10:56:28","2024-06-13",43,"C","6","C6",78.98,24.92,97.82,185,24.48,0.727926
"320","Germination",FALSE,TRUE,"10:56:34","2024-06-13",43,"C","7","C7",78.33,24.95,97.82,170,25.3,0.484963
"321","Germination",FALSE,TRUE,"10:56:40","2024-06-13",43,"C","8","C8",78.09,24.98,97.82,173,25.46,0.427031
"322","Germination",FALSE,TRUE,"10:56:46","2024-06-13",43,"C","9","C9",77.35,25.01,97.82,230,24.96,0.354798
"323","Germination",FALSE,TRUE,"10:56:52","2024-06-13",43,"C","10","C10",76.54,25.05,97.82,315,25.54,0.221355
"324","Germination",FALSE,TRUE,"10:57:01","2024-06-13",43,"C","11","C11",75.48,25.1,97.82,181,25.65,0.087601
"325","Germination",FALSE,TRUE,"10:57:08","2024-06-13",43,"C","12","C12",76.54,25.13,97.82,204,25.26,0.306225
"326","Germ+Trans",TRUE,TRUE,"10:57:20","2024-06-13",43,"D","1","D1",75.16,25.19,97.82,350,25.1,0.128473
"327","Germ+Trans",TRUE,TRUE,"10:57:38","2024-06-13",43,"D","2","D2",74.68,25.29,97.82,272,24.76,0.070927
"328","Germ+Trans",TRUE,TRUE,"10:57:45","2024-06-13",43,"D","3","D3",74.86,25.32,97.82,301,28,0.072391
"329","Germ+Trans",TRUE,TRUE,"10:57:50","2024-06-13",43,"D","4","D4",75.49,25.35,97.82,294,25.05,0.191766
"330","Germ+Trans",TRUE,TRUE,"10:57:58","2024-06-13",43,"D","5","D5",75.7,25.39,97.82,393,25.95,0.209695
"331","Germ+Trans",TRUE,TRUE,"10:58:07","2024-06-13",43,"D","6","D6",76.27,25.44,97.82,406,25.56,0.289673
"332","Germ+Trans",TRUE,TRUE,"10:58:13","2024-06-13",43,"D","7","D7",75.89,25.47,97.82,304,24.66,0.360588
"333","Germ+Trans",TRUE,TRUE,"10:58:19","2024-06-13",43,"D","8","D8",74.81,25.5,97.82,256,26.3,0.119621
"334","Germ+Trans",TRUE,TRUE,"10:58:24","2024-06-13",43,"D","9","D9",74.9,25.53,97.82,351,24.85,0.150506
"335","Germ+Trans",TRUE,TRUE,"10:58:30","2024-06-13",43,"D","10","D10",75.74,25.56,97.82,263,24.55,0.35955
"336","Germ+Trans",TRUE,TRUE,"10:58:39","2024-06-13",43,"D","11","D11",75.74,25.59,97.82,323,25.04,0.35956
"337","Germ+Trans",TRUE,TRUE,"10:58:49","2024-06-13",43,"D","12","D12",75.43,25.64,97.82,218,25.49,0.3618
"338","Control",FALSE,FALSE,"12:28:40","2024-06-27",57,"A","1","A1",79.14,24.69,97.32,330,26.83,1.783852
"339","Control",FALSE,FALSE,"12:28:46","2024-06-27",57,"A","2","A2",83.14,24.73,97.33,271,27.2,2.456691
"340","Control",FALSE,FALSE,"12:28:52","2024-06-27",57,"A","3","A3",80.2,24.75,97.32,273,26.97,1.245295
"341","Control",FALSE,FALSE,"12:29:08","2024-06-27",57,"A","5","A5",82.34,24.83,97.31,230,26.17,1.66599
"342","Control",FALSE,FALSE,"12:30:08","2024-06-27",57,"A","6","A6",87.05,25.1,97.32,300,26.5,3.331275
"343","Control",FALSE,FALSE,"12:30:15","2024-06-27",57,"A","7","A7",86.36,25.14,97.32,382,26.8,2.103332
"344","Control",FALSE,FALSE,"12:30:22","2024-06-27",57,"A","8","A8",84.08,25.18,97.33,210,26.97,1.138138
"345","Control",FALSE,FALSE,"12:30:30","2024-06-27",57,"A","9","A9",86.27,25.22,97.33,293,26.56,2.48861
"346","Control",FALSE,FALSE,"12:30:39","2024-06-27",57,"A","10","A10",84.24,25.26,97.33,299,26.97,1.276441
"347","Control",FALSE,FALSE,"12:30:57","2024-06-27",57,"A","11","A11",86.54,25.36,97.32,32,26.1,3.51063
"348","Transplantation",TRUE,FALSE,"12:31:20","2024-06-27",57,"B","1","B1",86.03,25.49,97.32,185,26.77,1.998225
"349","Transplantation",TRUE,FALSE,"12:31:48","2024-06-27",57,"B","4","B4",84.82,25.64,97.33,345,27.61,0.977258
"350","Transplantation",TRUE,FALSE,"12:32:29","2024-06-27",57,"B","9","B9",84.06,25.88,97.33,350,27.05,1.206443
"351","Transplantation",TRUE,FALSE,"12:32:35","2024-06-27",57,"B","10","B10",84.73,25.92,97.33,417,26.86,1.585917
"352","Transplantation",TRUE,FALSE,"12:32:59","2024-06-27",57,"B","12","B12",82.32,26.04,97.34,253,25.61,1.403075
"353","Germination",FALSE,TRUE,"12:33:11","2024-06-27",57,"C","1","C1",85.79,26.11,97.34,209,28.19,1.23915
"354","Germination",FALSE,TRUE,"12:33:31","2024-06-27",57,"C","3","C3",87.08,26.22,97.33,207,27.86,1.70111
"355","Germination",FALSE,TRUE,"12:33:37","2024-06-27",57,"C","4","C4",86.15,26.26,97.33,247,27.05,1.948682
"356","Germination",FALSE,TRUE,"12:33:44","2024-06-27",57,"C","5","C5",85.91,26.29,97.33,228,26.59,2.590722
"357","Germination",FALSE,TRUE,"12:33:51","2024-06-27",57,"C","6","C6",85.25,26.33,97.34,149,27.05,1.594853
"358","Germination",FALSE,TRUE,"12:33:58","2024-06-27",57,"C","7","C7",84.65,26.36,97.34,139,27.09,1.355204
"359","Germination",FALSE,TRUE,"12:34:10","2024-06-27",57,"C","9","C9",83.51,26.43,97.34,215,27.25,1.062025
"360","Germination",FALSE,TRUE,"12:34:17","2024-06-27",57,"C","10","C10",82.89,26.46,97.34,303,26.54,1.233245
"361","Germination",FALSE,TRUE,"12:34:23","2024-06-27",57,"C","11","C11",82.54,26.49,97.34,287,26.19,1.402472
"362","Germ+Trans",TRUE,TRUE,"12:34:42","2024-06-27",57,"D","1","D1",82.82,26.58,97.34,262,27.94,0.796651
"363","Germ+Trans",TRUE,TRUE,"12:35:10","2024-06-27",57,"D","5","D5",81.36,26.72,97.34,441,26.87,0.858528
"364","Germ+Trans",TRUE,TRUE,"12:35:16","2024-06-27",57,"D","6","D6",81.64,26.75,97.34,440,27.11,0.896573
"365","Germ+Trans",TRUE,TRUE,"12:35:39","2024-06-27",57,"D","9","D9",80.85,26.87,97.35,454,27.24,0.717974
"366","Germ+Trans",TRUE,TRUE,"12:35:44","2024-06-27",57,"D","10","D10",80.28,26.9,97.35,351,27.08,0.652236
"367","Germ+Trans",TRUE,TRUE,"12:36:03","2024-06-27",57,"D","12","D12",79.97,26.99,97.35,283,27.15,0.699224
"368","Control",FALSE,FALSE,"12:15:23","2024-06-20",50,"A","1","A1",75.56,24.35,98.79,308,27.05,0.608796
"369","Control",FALSE,FALSE,"12:15:29","2024-06-20",50,"A","2","A2",77.68,24.37,98.79,369,26.96,0.778166
"370","Control",FALSE,FALSE,"12:15:35","2024-06-20",50,"A","3","A3",78.97,24.4,98.79,339,28.19,0.710474
"371","Control",FALSE,FALSE,"12:15:46","2024-06-20",50,"A","4","A4",78.07,24.45,98.79,246,27.54,0.598439
"372","Control",FALSE,FALSE,"12:15:58","2024-06-20",50,"A","5","A5",78.67,24.5,98.79,380,27.11,0.623511
"373","Control",FALSE,FALSE,"12:16:07","2024-06-20",50,"A","6","A6",78.86,24.53,98.8,342,26.87,0.651466
"374","Control",FALSE,FALSE,"12:16:17","2024-06-20",50,"A","7","A7",78.29,24.58,98.8,252,28.32,0.381837
"375","Control",FALSE,FALSE,"12:16:32","2024-06-20",50,"A","9","A9",78.38,24.65,98.8,263,27.62,0.426661
"376","Control",FALSE,FALSE,"12:17:21","2024-06-20",50,"A","10","A10",76.79,24.91,98.78,276,25.97,0.431851
"377","Control",FALSE,FALSE,"12:17:29","2024-06-20",50,"A","11","A11",78.18,24.96,98.78,303,26.37,0.586224
"378","Transplantation",TRUE,FALSE,"12:18:27","2024-06-20",50,"B","1","B1",76.09,25.33,98.79,424,26.64,0.411691
"379","Transplantation",TRUE,FALSE,"12:18:47","2024-06-20",50,"B","3","B3",77.05,25.47,98.78,520,26.36,0.62361
"380","Transplantation",TRUE,FALSE,"12:18:53","2024-06-20",50,"B","4","B4",75.94,25.51,98.78,516,26.52,0.396853
"381","Transplantation",TRUE,FALSE,"12:19:08","2024-06-20",50,"B","6","B6",73.93,25.6,98.78,512,26.72,0.241239
"382","Transplantation",TRUE,FALSE,"12:19:31","2024-06-20",50,"B","7","B7",73.13,25.75,98.79,467,26.83,0.1581
"383","Transplantation",TRUE,FALSE,"12:19:36","2024-06-20",50,"B","8","B8",74.59,25.78,98.79,574,26.85,0.374884
"384","Transplantation",TRUE,FALSE,"12:19:42","2024-06-20",50,"B","9","B9",74.11,25.82,98.79,405,25.86,0.400191
"385","Transplantation",TRUE,FALSE,"12:19:51","2024-06-20",50,"B","10","B10",72.65,25.87,98.8,388,27.02,0.126315
"386","Transplantation",TRUE,FALSE,"12:20:06","2024-06-20",50,"B","12","B12",73.6,25.95,98.8,426,26.02,0.374103
"387","Germination",FALSE,TRUE,"12:20:31","2024-06-20",50,"C","1","C1",74.08,26.09,98.8,250,27.57,0.223412
"388","Germination",FALSE,TRUE,"12:20:38","2024-06-20",50,"C","2","C2",76.97,26.14,98.79,216,27.4,0.569252
"389","Germination",FALSE,TRUE,"12:20:45","2024-06-20",50,"C","3","C3",74,26.18,98.79,200,26.41,0.284695
"390","Germination",FALSE,TRUE,"12:20:51","2024-06-20",50,"C","4","C4",73.18,26.21,98.79,311,26.39,0.15912
"391","Germination",FALSE,TRUE,"12:20:57","2024-06-20",50,"C","5","C5",75.02,26.24,98.79,342,27.08,0.386679
"392","Germination",FALSE,TRUE,"12:21:17","2024-06-20",50,"C","8","C8",72.54,26.34,98.79,225,26.79,0.25729
"393","Germination",FALSE,TRUE,"12:21:22","2024-06-20",50,"C","9","C9",70.86,26.37,98.79,176,29.81,0.055039
"394","Germination",FALSE,TRUE,"12:21:40","2024-06-20",50,"C","12","C12",69.99,26.46,98.8,152,25.34,0.015657
"395","Germ+Trans",TRUE,TRUE,"12:21:54","2024-06-20",50,"D","1","D1",71.22,26.52,98.8,279,25.66,0.257375
"396","Germ+Trans",TRUE,TRUE,"12:22:03","2024-06-20",50,"D","2","D2",70.43,26.57,98.8,276,26.04,0.171996
"397","Germ+Trans",TRUE,TRUE,"12:22:14","2024-06-20",50,"D","4","D4",70.6,26.62,98.8,307,25.9,0.174539
"398","Germ+Trans",TRUE,TRUE,"12:22:20","2024-06-20",50,"D","5","D5",71.15,26.65,98.8,349,25.87,0.261726
"399","Germ+Trans",TRUE,TRUE,"12:22:37","2024-06-20",50,"D","7","D7",70.98,26.73,98.8,397,27.07,0.168884
"400","Germ+Trans",TRUE,TRUE,"12:22:42","2024-06-20",50,"D","8","D8",71.62,26.76,98.8,421,26.67,0.290501
"401","Germ+Trans",TRUE,TRUE,"12:22:51","2024-06-20",50,"D","9","D9",70.88,26.8,98.79,482,25.95,0.203961
"402","Germ+Trans",TRUE,TRUE,"12:22:58","2024-06-20",50,"D","10","D10",70.32,26.83,98.79,415,26.62,0.14413
"403","Germ+Trans",TRUE,TRUE,"12:23:08","2024-06-20",50,"D","11","D11",69.44,26.88,98.79,467,32.15,0.009463
"404","Germ+Trans",TRUE,TRUE,"12:23:24","2024-06-20",50,"D","12","D12",68.87,26.97,98.79,435,26.3,0.031861
"405","Control",FALSE,FALSE,"12:18:14","2024-06-25",55,"A","1","A1",76,24.83,97.73,338,27,0.446973
"406","Control",FALSE,FALSE,"12:18:21","2024-06-25",55,"A","2","A2",77.7,24.87,97.73,339,27.39,0.539412
"407","Control",FALSE,FALSE,"12:18:39","2024-06-25",55,"A","3","A3",79.29,24.97,97.74,287,27.45,0.608585
"408","Control",FALSE,FALSE,"12:18:56","2024-06-25",55,"A","5","A5",77.4,25.07,97.72,304,26.92,0.457859
"409","Control",FALSE,FALSE,"12:19:07","2024-06-25",55,"A","6","A6",77.34,25.13,97.72,298,26.36,0.532137
"410","Control",FALSE,FALSE,"12:19:43","2024-06-25",55,"A","7","A7",75.35,25.35,97.71,303,27.1,0.364848
"411","Control",FALSE,FALSE,"12:19:59","2024-06-25",55,"A","9","A9",73.23,25.44,97.71,201,26.89,0.158499
"412","Control",FALSE,FALSE,"12:20:10","2024-06-25",55,"A","10","A10",73.17,25.51,97.72,304,27.67,0.129889
"413","Control",FALSE,FALSE,"12:20:25","2024-06-25",55,"A","11","A11",73.95,25.6,97.72,290,25.88,0.285574
"414","Control",FALSE,FALSE,"12:20:31","2024-06-25",55,"A","12","A12",72.29,25.64,97.72,224,26.74,0.107305
"415","Transplantation",TRUE,FALSE,"12:20:51","2024-06-25",55,"B","1","B1",71.51,25.76,97.72,343,25.59,0.100739
"416","Transplantation",TRUE,FALSE,"12:21:08","2024-06-25",55,"B","2","B2",73.61,25.86,97.72,441,25.91,0.496873
"417","Transplantation",TRUE,FALSE,"12:21:15","2024-06-25",55,"B","3","B3",71.31,25.9,97.72,478,26.01,0.193296
"418","Transplantation",TRUE,FALSE,"12:21:25","2024-06-25",55,"B","4","B4",69.65,25.96,97.72,420,26.25,0.033625
"419","Transplantation",TRUE,FALSE,"12:21:31","2024-06-25",55,"B","5","B5",69.37,25.99,97.72,396,26.08,0.021447
"420","Transplantation",TRUE,FALSE,"12:21:36","2024-06-25",55,"B","6","B6",70.83,26.02,97.73,482,26.24,0.220385
"421","Transplantation",TRUE,FALSE,"12:21:49","2024-06-25",55,"B","8","B8",68.98,26.1,97.73,466,25.95,0.023044
"422","Transplantation",TRUE,FALSE,"12:21:57","2024-06-25",55,"B","9","B9",69.44,26.14,97.73,469,25.79,0.127822
"423","Transplantation",TRUE,FALSE,"12:22:05","2024-06-25",55,"B","10","B10",68.66,26.18,97.72,459,26.69,0.025493
"424","Transplantation",TRUE,FALSE,"12:22:12","2024-06-25",55,"B","11","B11",69.19,26.22,97.72,484,26.38,0.098063
"425","Transplantation",TRUE,FALSE,"12:22:19","2024-06-25",55,"B","12","B12",68.49,26.25,97.72,438,26.99,0.037942
"426","Germination",FALSE,TRUE,"12:22:35","2024-06-25",55,"C","1","C1",69.24,26.34,97.71,274,27.48,0.010757
"427","Germination",FALSE,TRUE,"12:22:46","2024-06-25",55,"C","2","C2",73.65,26.4,97.72,312,25.81,0.635908
"428","Germination",FALSE,TRUE,"12:22:53","2024-06-25",55,"C","3","C3",71.53,26.43,97.72,226,26.04,0.299071
"429","Germination",FALSE,TRUE,"12:22:58","2024-06-25",55,"C","4","C4",69.64,26.46,97.72,308,26.7,0.025033
"430","Germination",FALSE,TRUE,"12:23:21","2024-06-25",55,"C","7","C7",68.12,26.56,97.72,172,26.04,0.043377
"431","Germination",FALSE,TRUE,"12:23:30","2024-06-25",55,"C","8","C8",67.31,26.61,97.72,186,26.64,0.008936
"432","Germination",FALSE,TRUE,"12:23:36","2024-06-25",55,"C","9","C9",67.21,26.63,97.72,238,26.25,0.03594
"433","Germination",FALSE,TRUE,"12:23:42","2024-06-25",55,"C","10","C10",67.82,26.66,97.72,194,25.32,0.141993
"434","Germination",FALSE,TRUE,"12:23:52","2024-06-25",55,"C","12","C12",67.8,26.7,97.72,181,26.14,0.116442
"435","Germ+Trans",TRUE,TRUE,"12:24:05","2024-06-25",55,"D","1","D1",67.17,26.75,97.72,344,25.85,0.077001
"436","Germ+Trans",TRUE,TRUE,"12:24:22","2024-06-25",55,"D","3","D3",67.57,26.83,97.72,380,25.6,0.167181
"437","Germ+Trans",TRUE,TRUE,"12:24:43","2024-06-25",55,"D","5","D5",68.75,26.92,97.72,384,25.99,0.397996
"438","Germ+Trans",TRUE,TRUE,"12:25:00","2024-06-25",55,"D","7","D7",67.86,26.99,97.72,335,25.97,0.228509
"439","Germ+Trans",TRUE,TRUE,"12:25:07","2024-06-25",55,"D","8","D8",68.52,27.03,97.73,355,26.17,0.289098
"440","Germ+Trans",TRUE,TRUE,"12:25:35","2024-06-25",55,"D","11","D11",67.36,27.14,97.73,347,26.32,0.129996
"441","Control",FALSE,FALSE,"12:56:11","2024-07-09",69,"A","1","A1",66.94,26.75,97.75,150,29.76,0.088384
"442","Control",FALSE,FALSE,"12:56:17","2024-07-09",69,"A","2","A2",69.97,26.77,97.75,143,30.46,0.178588
"443","Control",FALSE,FALSE,"12:56:23","2024-07-09",69,"A","3","A3",79.06,26.8,97.75,105,30.98,0.983756
"444","Control",FALSE,FALSE,"12:56:29","2024-07-09",69,"A","4","A4",81.6,26.82,97.74,142,30.8,1.335201
"445","Control",FALSE,FALSE,"12:56:36","2024-07-09",69,"A","5","A5",76.03,26.84,97.74,99,30.35,0.433391
"446","Control",FALSE,FALSE,"12:56:43","2024-07-09",69,"A","6","A6",76.39,26.87,97.74,137,30.12,0.415209
"447","Control",FALSE,FALSE,"12:56:50","2024-07-09",69,"A","7","A7",78.89,26.9,97.75,126,31.35,0.527654
"448","Control",FALSE,FALSE,"12:56:56","2024-07-09",69,"A","8","A8",81.05,26.92,97.75,123,30.64,0.845494
"449","Control",FALSE,FALSE,"12:57:24","2024-07-09",69,"A","12","A12",82.39,27.03,97.74,111,31.52,0.755197
"450","Transplantation",TRUE,FALSE,"12:57:37","2024-07-09",69,"B","1","B1",80.3,27.08,97.74,132,29.68,0.717902
"451","Transplantation",TRUE,FALSE,"12:57:52","2024-07-09",69,"B","2","B2",80.21,27.14,97.74,116,28.52,0.840306
"452","Transplantation",TRUE,FALSE,"12:57:59","2024-07-09",69,"B","3","B3",81.51,27.17,97.74,107,28.16,1.489691
"453","Transplantation",TRUE,FALSE,"12:58:06","2024-07-09",69,"B","4","B4",80.75,27.2,97.74,63,28.99,0.992888
"454","Transplantation",TRUE,FALSE,"12:58:13","2024-07-09",69,"B","5","B5",81.82,27.23,97.74,122,30,0.931892
"455","Transplantation",TRUE,FALSE,"12:58:20","2024-07-09",69,"B","6","B6",77.29,27.26,97.74,92,28.64,0.410828
"456","Transplantation",TRUE,FALSE,"12:58:25","2024-07-09",69,"B","7","B7",78.04,27.28,97.74,88,29.41,0.498805
